Terms,Replace
"[ ]{1,}descriptive analytics[ ]{1,}",   analytics   
"[ ]{1,}predictive analytics[ ]{1,}",   analytics   
"[ ]{1,}prescriptive analytics[ ]{1,}",   analytics   
"[ ]{1,}behavioral analytics[ ]{1,}",   analytics   
"[ ]{1,}clickstream analytics[ ]{1,}",   analytics   
"[ ]{1,}data mining[ ]{1,}",   data-mining   
"[ ]{1,}dark data[ ]{1,}",   dark-data   
"[ ]{1,}machine learning[ ]{1,}",   machine-learning   
"[ ]{1,}neural network[ ]{1,}",   neural-network   
"[ ]{1,}cloud computing[ ]{1,}",   cloud-computing   
"[ ]{1,}cluster computing[ ]{1,}",   cluster-computing   
"[ ]{1,}distributed file system[ ]{1,}",   distributed-file-system   
"[ ]{1,}apache spark[ ]{1,}",   big-data   
"[ ]{1,}artificial intelligence[ ]{1,}",   artificial-intelligence   
"[ ]{1,}business intelligence[ ]{1,}",   artificial-intelligence   
"[ ]{1,}call detail record (cdr) analysis[ ]{1,}",   call-detail-record   
"[ ]{1,}data aggregation[ ]{1,}",   data-aggregation   
"[ ]{1,}data architecture and design[ ]{1,}",   data-architecture   
"[ ]{1,}data cleansing[ ]{1,}",   data-cleansing   
"[ ]{1,}data collection[ ]{1,}",   data-collection   
"[ ]{1,}data governance[ ]{1,}",   data-governance   
"[ ]{1,}data profiling[ ]{1,}",   data-profiling   
"[ ]{1,}data visualization[ ]{1,}",   data-visualization   
"[ ]{1,}data warehouse[ ]{1,}",   data-warehouse   
"[ ]{1,}internet of things[ ]{1,}",   internet-of-things   
"[ ]{1,}load balancing[ ]{1,}",   load-balancing   
"[ ]{1,}pattern recognition[ ]{1,}",   artificial-intelligence   
"[ ]{1,}recommendation engine[ ]{1,}",   recommendation-engine   
"[ ]{1,}root-cause analysis[ ]{1,}",   root-cause-analysis   
"[ ]{1,}sentiment analysis[ ]{1,}",   sentiment-analysis   
"[ ]{1,}deep learning[ ]{1,}",   deep-learning   
"[ ]{1,}quality assurance[ ]{1,}",   quality-assurance   
"[ ]{1,}big data[ ]{1,}",   big-data   
"[ ]{1,}hadoop ecosystem[ ]{1,}",   big-data   
"[ ]{1,}google cloud platform[ ]{1,}",   google-cloud-platform   
"[ ]{1,}microsoft azure[ ]{1,}",   microsoft-azure   
"[ ]{1,}strategic analytics[ ]{1,}",   analytics   
"[ ]{1,}marketing analytics[ ]{1,}",   analytics   
"[ ]{1,}quant research[ ]{1,}",   research   
"[ ]{1,}quantitative analysis[ ]{1,}",   quantitative-analysis   
"[ ]{1,}big datasets[ ]{1,}",   big-datasets   
"[ ]{1,}ai models[ ]{1,}",   ai-models   
"[ ]{1,}bidding optimization[ ]{1,}",   bidding-optimization   
"[ ]{1,}messaging optimization[ ]{1,}",   messaging-optimization   
"[ ]{1,}multi-touch attribution[ ]{1,}",   multi-touch-attribution   
"[ ]{1,}data science life cycle[ ]{1,}",   data-science-life-cycle   
"[ ]{1,}data wrangling[ ]{1,}",   data-wrangling   
"[ ]{1,}feature engineering[ ]{1,}",   feature-engineering   
"[ ]{1,}model generation[ ]{1,}",   model-generation   
"[ ]{1,}statistic[ ]{1,}",   statistics   
"[ ]{1,}data warehousing[ ]{1,}",   data-warehousing   
"[ ]{1,}feature extractions[ ]{1,}",   feature-extractions   
"[ ]{1,}model selection[ ]{1,}",   model-selection   
"[ ]{1,}model optimization[ ]{1,}",   model-optimization   
"[ ]{1,}model deployment[ ]{1,}",   model-deployment   
