Column1,term,frequency
992,data,89
198,analytics,88
1001,data-scientist,80
3940,statistics,74
2650,modeling,71
4108,team,69
3227,programming,68
1060,degree,61
3328,r-programming,58
3299,python,57
2441,machine-learning,55
3194,problem-solving,55
1113,design,45
3896,sql,45
420,big-data,44
799,computer-science,44
751,communication,42
998,data-processing,41
999,data-science,41
1389,engineering,41
3495,research,40
3830,software,39
141,algorithms,38
1007,database,38
997,data-mining,32
1002,data-visualization,32
4530,written,31
2516,mathematics,30
1040,decisions-science,28
3604,sas,27
368,bachelor,26
3013,phd,26
4521,world,26
278,artificial-intelligence,25
2244,java,24
3214,professional,23
747,communicate,21
858,consulting,21
2506,master,21
4279,trends,21
2123,innovative,20
246,approaches,19
717,color,19
974,current,19
1414,ensure,19
1574,external,19
1677,focused,19
2039,implement,19
2053,improve,19
2338,learn,19
2459,making,19
2877,organization,19
2883,orientation,19
2885,origin,19
2940,part,19
2980,people,19
3329,race,19
3430,relationships,19
3522,responsible,19
3984,structured,19
4072,tableau,19
4381,variety,19
4,able,18
238,applicants,18
493,building,18
698,collaborate,18
720,com,18
1039,decisions,18
1274,duties,18
1294,economics,18
1303,education,18
1609,fast,18
1676,focus,18
1911,healthcare,18
2557,meet,18
2820,office,18
2949,partners,18
3206,product,18
3437,religion,18
3733,sexual,18
120,age,17
674,closely,17
942,creating,17
1522,existing,17
2031,impact,17
2330,lead,17
2361,leverage,17
2375,life,17
2530,may,17
2884,oriented,17
3273,provides,17
3274,providing,17
3313,qualified,17
3931,state,17
4010,successful,17
4340,unstructured,17
4393,verbal,17
4406,veteran,17
411,benefits,16
524,candidates,16
754,community,16
1055,define,16
1312,effective,16
1313,effectively,16
1354,employees,16
1645,findings,16
2010,identity,16
2333,leadership,16
2340,learning,16
2349,least,16
3372,recommendations,16
3405,regard,16
3454,reporting,16
3700,senior,16
3718,service,16
3732,sex,16
3833,solution,16
4065,system,16
4153,testing,16
4218,top,16
4356,used,16
4374,value,16
4425,vision,16
4532,www,16
38,achieve,15
127,agile,15
241,applying,15
757,companies,15
944,creative,15
1077,demonstrated,15
1117,designs,15
1162,different,15
1448,equivalent,15
1784,gender,15
1853,great,15
1910,health,15
2054,improvement,15
2158,integration,15
2702,multi,15
2851,operational,15
2923,paced,15
3848,source,15
3870,specific,15
