term,frequency
data,89
analytics,88
data-scientist,80
statistics,74
modeling,71
team,69
programming,68
degree,61
r-programming,58
python,57
machine-learning,55
problem-solving,55
design,45
sql,45
computer-science,44
communication,42
data-processing,41
data-science,41
engineering,41
research,40
software,39
algorithms,38
database,38
data-mining,32
data-visualization,32
written,31
mathematics,30
decisions-science,28
spark,28
sas,27
bachelor,26
big-data,26
phd,26
artificial-intelligence,25
java,24
professional,23
communicate,21
consulting,21
master,21
trends,21
innovative,20
approaches,19
color,19
current,19
ensure,19
external,19
focused,19
implement,19
improve,19
learn,19
making,19
organization,19
orientation,19
origin,19
part,19
people,19
race,19
relationships,19
responsible,19
structured,19
tableau,19
variety,19
able,18
applicants,18
building,18
collaborate,18
com,18
decisions,18
duties,18
economics,18
education,18
fast,18
focus,18
healthcare,18
meet,18
office,18
partners,18
product,18
religion,18
sexual,18
age,17
closely,17
creating,17
existing,17
impact,17
lead,17
leverage,17
life,17
may,17
oriented,17
provides,17
providing,17
qualified,17
state,17
successful,17
unstructured,17
verbal,17
veteran,17
benefits,16
candidates,16
community,16
define,16
effective,16
effectively,16
employees,16
findings,16
identity,16
leadership,16
learning,16
least,16
recommendations,16
regard,16
reporting,16
senior,16
service,16
sex,16
solution,16
system,16
testing,16
top,16
used,16
value,16
vision,16
www,16
achieve,15
agile,15
applying,15
companies,15
creative,15
demonstrated,15
designs,15
different,15
equivalent,15
gender,15
great,15
health,15
improvement,15
integration,15
multi,15
operational,15
paced,15
source,15
specific,15
stakeholders,15
strategic,15
take,15
visit,15
appropriate,14
care,14
cloud,14
computer,14
consideration,14
critical,14
day,14
deep,14
department,14
digital,14
driven,14
evaluate,14
functional,14
global,14
good,14
hands,14
integrity,14
location,14
manage,14
marketing,14
math,14
matlab,14
mission,14
needed,14
networks,14
person,14
presentation,14
provider,14
science,14
self,14
success,14
thinking,14
travel,14
works,14
writing,14
year,14
activities,13
additional,13
analysts,13
automated,13
basic,13
clear,13
collaborative,13
committed,13
datasets,13
determine,13
dynamic,13
enhance,13
future,13
inc,13
includes,13
individuals,13
like,13
oral,13
order,13
outcomes,13
platforms,13
practices,13
presentations,13
proven,13
questions,13
resume,13
scale,13
web,13
access,12
action,12
analyses,12
capabilities,12
class,12
delivery,12
enterprise,12
expert,12
extract,12
functions,12
group,12
growing,12
independently,12
individual,12
innovation,12
insurance,12
local,12
manager,12
masters,12
mathematical,12
medical,12
metrics,12
plan,12
platform,12
prediction,12
range,12
regression,12
require,12
scientific,12
staff,12
test,12
training,12
unique,12
analyzing,11
audiences,11
better,11
clustering,11
code,11
computing,11
currently,11
dedicated,11
deep-learning,11
designing,11
discipline,11
end,11
engineers,11
federal,11
generate,11
get,11
groups,11
growth,11
guide,11
industries,11
leader,11
maintain,11
necessary,11
open,11
optimize,11
others,11
packages,11
partner,11
plans,11
potential,11
present,11
programs,11
scientist,11
serve,11
set,11
similar,11
standards,11
states,11
strategy,11
user,11
actionable,10
area,10
attention,10
challenges,10
classification,10
clinical,10
competitive,10
core,10
cross,10
dashboards,10
develops,10
discover,10
domain,10
employee,10
essential,10
execution,10
explore,10
familiarity,10
grow,10
hive,10
implementation,10
initiatives,10
insight,10
interested,10
issues,10
law,10
leaders,10
levels,10
major,10
member,10
mentor,10
methodologies,10
named,10
natural,10
need,10
network,10
neural,10
overview,10
procedures,10
produce,10
public,10
receive,10
structures,10
subject,10
throughout,10
users,10
visualizations,10
way,10
wide,10
write,10
academic,9
accuracy,9
address,9
along,9
assigned,9
basis,9
big,9
career,9
citizenship,9
collaboration,9
common,9
consumer,9
contact,9
days,9
demonstrate,9
