,term,frequency
1,analytics,88
2,data-scientist,81
3,statistics,74
4,modeling,71
5,team,69
6,programming,68
7,data,61
8,degree,61
9,r-programming,58
10,python,57
11,machine-learning,55
12,problem-solving,55
13,communication,54
14,design,45
15,sql,45
16,computer-science,44
17,data-processing,42
18,data-science,41
19,engineering,40
20,research,40
21,software,39
22,algorithms,38
23,database,38
24,data-mining,32
25,data-visualization,32
26,written,31
27,mathematics,30
28,decisions-science,28
29,spark,28
30,sas,27
31,bachelor,26
32,big-data,26
33,phd,26
34,artificial-intelligence,25
35,description,25
36,java,24
37,working,24
38,professional,23
39,advanced,22
40,consulting,21
41,master,21
42,trends,21
43,innovative,20
44,approaches,19
45,color,19
46,current,19
47,employer,19
48,ensure,19
49,external,19
50,focused,19
51,implement,19
52,improve,19
53,learn,19
54,making,19
55,organization,19
56,orientation,19
57,origin,19
58,part,19
59,people,19
60,race,19
61,relationships,19
62,responsible,19
63,structured,19
64,tableau,19
65,variety,19
66,able,18
67,applicants,18
68,building,18
69,collaborate,18
70,com,18
71,decisions,18
72,duties,18
73,economics,18
74,education,18
75,fast,18
76,field,18
77,focus,18
78,healthcare,18
79,meet,18
80,office,18
81,partners,18
82,product,18
83,religion,18
84,sexual,18
85,age,17
86,closely,17
87,creating,17
88,existing,17
89,impact,17
90,lead,17
91,leverage,17
92,life,17
93,may,17
94,oriented,17
95,provides,17
96,providing,17
97,qualified,17
98,state,17
99,successful,17
100,unstructured,17
101,verbal,17
102,veteran,17
103,benefits,16
104,candidates,16
105,community,16
106,define,16
107,effective,16
108,effectively,16
109,employees,16
110,findings,16
111,help,16
112,identity,16
113,leadership,16
114,learning,16
115,least,16
116,recommendations,16
117,regard,16
118,relevant,16
119,reporting,16
120,requirements,16
121,senior,16
122,service,16
123,sex,16
124,solution,16
125,system,16
126,technology,16
127,testing,16
128,top,16
129,understanding,16
130,used,16
131,value,16
132,vision,16
133,www,16
134,achieve,15
135,agile,15
136,applying,15
137,companies,15
138,creative,15
139,demonstrated,15
140,designs,15
141,different,15
142,equivalent,15
143,gender,15
144,great,15
145,health,15
146,improvement,15
