Terms,Replace
"^descriptive analytics[ ]{1,}|[ ]{1,}descriptive analytics[ ]{1,}|[ ]{1,}descriptive analytics$",     analytics     
"^predictive analytics[ ]{1,}|[ ]{1,}predictive analytics[ ]{1,}|[ ]{1,}predictive analytics$",     analytics     
"^prescriptive analytics[ ]{1,}|[ ]{1,}prescriptive analytics[ ]{1,}|[ ]{1,}prescriptive analytics$",     analytics     
"^behavioral analytics[ ]{1,}|[ ]{1,}behavioral analytics[ ]{1,}|[ ]{1,}behavioral analytics$",     analytics     
"^clickstream analytics[ ]{1,}|[ ]{1,}clickstream analytics[ ]{1,}|[ ]{1,}clickstream analytics$",     analytics     
"^data mining[ ]{1,}|[ ]{1,}data mining[ ]{1,}|[ ]{1,}data mining$",     data-mining     
"^dark data[ ]{1,}|[ ]{1,}dark data[ ]{1,}|[ ]{1,}dark data$",     dark-data     
"^machine learning[ ]{1,}|[ ]{1,}machine learning[ ]{1,}|[ ]{1,}machine learning$",     machine-learning     
"^neural network[ ]{1,}|[ ]{1,}neural network[ ]{1,}|[ ]{1,}neural network$",     neural-network     
"^cloud computing[ ]{1,}|[ ]{1,}cloud computing[ ]{1,}|[ ]{1,}cloud computing$",     cloud-computing     
"^cluster computing[ ]{1,}|[ ]{1,}cluster computing[ ]{1,}|[ ]{1,}cluster computing$",     cluster-computing     
"^distributed file system[ ]{1,}|[ ]{1,}distributed file system[ ]{1,}|[ ]{1,}distributed file system$",     distributed-file-system     
"^apache spark[ ]{1,}|[ ]{1,}apache spark[ ]{1,}|[ ]{1,}apache spark$",     spark     
"^artificial intelligence[ ]{1,}|[ ]{1,}artificial intelligence[ ]{1,}|[ ]{1,}artificial intelligence$",     artificial-intelligence     
"^business intelligence[ ]{1,}|[ ]{1,}business intelligence[ ]{1,}|[ ]{1,}business intelligence$",     artificial-intelligence     
"^call detail record (cdr) analysis[ ]{1,}|[ ]{1,}call detail record (cdr) analysis[ ]{1,}|[ ]{1,}call detail record (cdr) analysis$",     call-detail-record     
"^data aggregation[ ]{1,}|[ ]{1,}data aggregation[ ]{1,}|[ ]{1,}data aggregation$",     data-aggregation     
"^data architecture and design[ ]{1,}|[ ]{1,}data architecture and design[ ]{1,}|[ ]{1,}data architecture and design$",     data-architecture     
"^data cleansing[ ]{1,}|[ ]{1,}data cleansing[ ]{1,}|[ ]{1,}data cleansing$",     data-cleansing     
"^data collection[ ]{1,}|[ ]{1,}data collection[ ]{1,}|[ ]{1,}data collection$",     data-collection     
"^data governance[ ]{1,}|[ ]{1,}data governance[ ]{1,}|[ ]{1,}data governance$",     data-governance     
"^data profiling[ ]{1,}|[ ]{1,}data profiling[ ]{1,}|[ ]{1,}data profiling$",     data-profiling     
"^data visualization[ ]{1,}|[ ]{1,}data visualization[ ]{1,}|[ ]{1,}data visualization$",     data-visualization     
"^data warehouse[ ]{1,}|[ ]{1,}data warehouse[ ]{1,}|[ ]{1,}data warehouse$",     data-warehouse     
"^internet of things[ ]{1,}|[ ]{1,}internet of things[ ]{1,}|[ ]{1,}internet of things$",     internet-of-things     
"^load balancing[ ]{1,}|[ ]{1,}load balancing[ ]{1,}|[ ]{1,}load balancing$",     load-balancing     
"^pattern recognition[ ]{1,}|[ ]{1,}pattern recognition[ ]{1,}|[ ]{1,}pattern recognition$",     artificial-intelligence     
"^recommendation engine[ ]{1,}|[ ]{1,}recommendation engine[ ]{1,}|[ ]{1,}recommendation engine$",     recommendation-engine     
"^root-cause analysis[ ]{1,}|[ ]{1,}root-cause analysis[ ]{1,}|[ ]{1,}root-cause analysis$",     root-cause-analysis     
"^sentiment analysis[ ]{1,}|[ ]{1,}sentiment analysis[ ]{1,}|[ ]{1,}sentiment analysis$",     sentiment-analysis     
"^deep learning[ ]{1,}|[ ]{1,}deep learning[ ]{1,}|[ ]{1,}deep learning$",     deep-learning     
"^quality assurance[ ]{1,}|[ ]{1,}quality assurance[ ]{1,}|[ ]{1,}quality assurance$",     quality-assurance     
"^big data[ ]{1,}|[ ]{1,}big data[ ]{1,}|[ ]{1,}big data$",     big-data     
"^google cloud platform[ ]{1,}|[ ]{1,}google cloud platform[ ]{1,}|[ ]{1,}google cloud platform$",     cloud    
"^microsoft azure[ ]{1,}|[ ]{1,}microsoft azure[ ]{1,}|[ ]{1,}microsoft azure$",     microsoft-azure     
"^strategic analytics[ ]{1,}|[ ]{1,}strategic analytics[ ]{1,}|[ ]{1,}strategic analytics$",     analytics     
"^marketing analytics[ ]{1,}|[ ]{1,}marketing analytics[ ]{1,}|[ ]{1,}marketing analytics$",     analytics     
"^quant research[ ]{1,}|[ ]{1,}quant research[ ]{1,}|[ ]{1,}quant research$",     research     
"^quantitative analysis[ ]{1,}|[ ]{1,}quantitative analysis[ ]{1,}|[ ]{1,}quantitative analysis$",     quantitative-analysis     
"^big datasets[ ]{1,}|[ ]{1,}big datasets[ ]{1,}|[ ]{1,}big datasets$",     big-datasets     
"^ai models[ ]{1,}|[ ]{1,}ai models[ ]{1,}|[ ]{1,}ai models$",     ai-models     
"^bidding optimization[ ]{1,}|[ ]{1,}bidding optimization[ ]{1,}|[ ]{1,}bidding optimization$",     bidding-optimization     
"^messaging optimization[ ]{1,}|[ ]{1,}messaging optimization[ ]{1,}|[ ]{1,}messaging optimization$",     messaging-optimization     
"^multi-touch attribution[ ]{1,}|[ ]{1,}multi-touch attribution[ ]{1,}|[ ]{1,}multi-touch attribution$",     multi-touch-attribution     
"^data science life cycle[ ]{1,}|[ ]{1,}data science life cycle[ ]{1,}|[ ]{1,}data science life cycle$",     data-science-life-cycle     
"^data wrangling[ ]{1,}|[ ]{1,}data wrangling[ ]{1,}|[ ]{1,}data wrangling$",     data-wrangling     
"^feature engineering[ ]{1,}|[ ]{1,}feature engineering[ ]{1,}|[ ]{1,}feature engineering$",     feature-engineering     
"^model generation[ ]{1,}|[ ]{1,}model generation[ ]{1,}|[ ]{1,}model generation$",     model-generation     
"^statistic[ ]{1,}|[ ]{1,}statistic[ ]{1,}|[ ]{1,}statistic$",     statistics     
"^data warehousing[ ]{1,}|[ ]{1,}data warehousing[ ]{1,}|[ ]{1,}data warehousing$",     data-warehousing     
"^feature extractions[ ]{1,}|[ ]{1,}feature extractions[ ]{1,}|[ ]{1,}feature extractions$",     feature-extractions     
"^model selection[ ]{1,}|[ ]{1,}model selection[ ]{1,}|[ ]{1,}model selection$",     model-selection     
"^model optimization[ ]{1,}|[ ]{1,}model optimization[ ]{1,}|[ ]{1,}model optimization$",     model-optimization     
"^model deployment[ ]{1,}|[ ]{1,}model deployment[ ]{1,}|[ ]{1,}model deployment$",     model-deployment     
"^support vector machine[ ]{1,}|[ ]{1,}support vector machine[ ]{1,}|[ ]{1,}support vector machine$",     support-vector-machine     
"^genetic algorithms[ ]{1,}|[ ]{1,}genetic algorithms[ ]{1,}|[ ]{1,}genetic algorithms$",     genetic-algorithms     
"^fuzzy logic[ ]{1,}|[ ]{1,}fuzzy logic[ ]{1,}|[ ]{1,}fuzzy logic$",     fuzzy-logic     
"^parallel computing[ ]{1,}|[ ]{1,}parallel computing[ ]{1,}|[ ]{1,}parallel computing$",     parallel-computing     
"^rest api[ ]{1,}|[ ]{1,}rest api[ ]{1,}|[ ]{1,}rest api$",     rest-api     
"^logistic regression[ ]{1,}|[ ]{1,}logistic regression[ ]{1,}|[ ]{1,}logistic regression$",     logistic-regression     
"^bayesian techniques[ ]{1,}|[ ]{1,}bayesian techniques[ ]{1,}|[ ]{1,}bayesian techniques$",     bayesian-techniques     
"^time-series analysis[ ]{1,}|[ ]{1,}time-series analysis[ ]{1,}|[ ]{1,}time-series analysis$",     time-series-analysis     
"^stochastic optimization[ ]{1,}|[ ]{1,}stochastic optimization[ ]{1,}|[ ]{1,}stochastic optimization$",     stochastic-optimization     
"^computer science[ ]{1,}|[ ]{1,}computer science[ ]{1,}|[ ]{1,}computer science$",     computer-science     
"^text mining[ ]{1,}|[ ]{1,}text mining[ ]{1,}|[ ]{1,}text mining$",     data-mining     
"^data science[ ]{1,}|[ ]{1,}data science[ ]{1,}|[ ]{1,}data science$",     data-science     
"^predictive modeling[ ]{1,}|[ ]{1,}predictive modeling[ ]{1,}|[ ]{1,}predictive modeling$",     modeling     
"^data scientist[ ]{1,}|[ ]{1,}data scientist[ ]{1,}|[ ]{1,}data scientist$",     data-scientist     
"^data scientists[ ]{1,}|[ ]{1,}data scientists[ ]{1,}|[ ]{1,}data scientists$",     data-scientist     
"^java[ ]{1,}|[ ]{1,}java[ ]{1,}|[ ]{1,}java$",     java     
"^javascript[ ]{1,}|[ ]{1,}javascript[ ]{1,}|[ ]{1,}javascript$",     java     
"^java script[ ]{1,}|[ ]{1,}java script[ ]{1,}|[ ]{1,}java script$",     java     
